{'SensorId': 27, 'HomeId': 6, 'Timestamp': 1680683210, 'Volume': 12.27, 'Velocity': 5.91, 'Pressure': 55.61, 'pH': 7.58, 'Temperature': 89.24, 'DissolvedOxygen': 82.63, 'Turbidity': 33.77, 'Conductivity': 35.51, 'PollutionLevel': 90.08}
{'SensorId': 78, 'HomeId': 26, 'Timestamp': 1680683210, 'Volume': 19.7, 'Velocity': 8.44, 'Pressure': 83.02, 'pH': 7.26, 'Temperature': 36.52, 'DissolvedOxygen': 73.31, 'Turbidity': 35.84, 'Conductivity': 93.72, 'PollutionLevel': 34.54}
{'SensorId': 98, 'HomeId': 20, 'Timestamp': 1680683210, 'Volume': 34.36, 'Velocity': 4.43, 'Pressure': 87.35, 'pH': 3.16, 'Temperature': 49.22, 'DissolvedOxygen': 57.14, 'Turbidity': 2.99, 'Conductivity': 27.69, 'PollutionLevel': 14.32}
{'SensorId': 68, 'HomeId': 14, 'Timestamp': 1680683210, 'Volume': 79.65, 'Velocity': 0.31, 'Pressure': 58.02, 'pH': 6.42, 'Temperature': 63.74, 'DissolvedOxygen': 97.38, 'Turbidity': 28.81, 'Conductivity': 94.84, 'PollutionLevel': 31.71}
{'SensorId': 23, 'HomeId': 35, 'Timestamp': 1680683210, 'Volume': 84.36, 'Velocity': 8.58, 'Pressure': 22.14, 'pH': 12.4, 'Temperature': 94.2, 'DissolvedOxygen': 2.13, 'Turbidity': 23.26, 'Conductivity': 20.57, 'PollutionLevel': 14.32}
{'SensorId': 8, 'HomeId': 31, 'Timestamp': 1680683210, 'Volume': 43.34, 'Velocity': 6.71, 'Pressure': 80.52, 'pH': 5.84, 'Temperature': 55.63, 'DissolvedOxygen': 4.09, 'Turbidity': 80.65, 'Conductivity': 28.78, 'PollutionLevel': 70.86}
{'SensorId': 68, 'HomeId': 25, 'Timestamp': 1680683210, 'Volume': 58.8, 'Velocity': 2.29, 'Pressure': 54.84, 'pH': 1.73, 'Temperature': 48.64, 'DissolvedOxygen': 58.5, 'Turbidity': 4.09, 'Conductivity': 77.72, 'PollutionLevel': 55.95}
{'SensorId': 14, 'HomeId': 22, 'Timestamp': 1680683210, 'Volume': 3.02, 'Velocity': 6.2, 'Pressure': 49.85, 'pH': 10.9, 'Temperature': 53.77, 'DissolvedOxygen': 50.4, 'Turbidity': 6.9, 'Conductivity': 95.75, 'PollutionLevel': 89.67}
{'SensorId': 97, 'HomeId': 17, 'Timestamp': 1680683210, 'Volume': 13.26, 'Velocity': 6.22, 'Pressure': 30.3, 'pH': 4.22, 'Temperature': 38.9, 'DissolvedOxygen': 56.14, 'Turbidity': 48.93, 'Conductivity': 63.1, 'PollutionLevel': 26.76}
{'SensorId': 5, 'HomeId': 14, 'Timestamp': 1680683210, 'Volume': 12.04, 'Velocity': 3.61, 'Pressure': 65.0, 'pH': 4.95, 'Temperature': 93.49, 'DissolvedOxygen': 2.76, 'Turbidity': 1.67, 'Conductivity': 11.18, 'PollutionLevel': 96.76}
{'SensorId': 7, 'HomeId': 24, 'Timestamp': 1680683210, 'Volume': 50.77, 'Velocity': 8.35, 'Pressure': 16.04, 'pH': 6.94, 'Temperature': 92.42, 'DissolvedOxygen': 89.06, 'Turbidity': 51.48, 'Conductivity': 26.66, 'PollutionLevel': 86.47}
{'SensorId': 9, 'HomeId': 22, 'Timestamp': 1680683210, 'Volume': 10.99, 'Velocity': 9.18, 'Pressure': 49.77, 'pH': 2.29, 'Temperature': 90.36, 'DissolvedOxygen': 20.71, 'Turbidity': 27.71, 'Conductivity': 49.04, 'PollutionLevel': 61.75}
{'SensorId': 9, 'HomeId': 41, 'Timestamp': 1680683210, 'Volume': 21.0, 'Velocity': 1.61, 'Pressure': 83.68, 'pH': 7.86, 'Temperature': 39.87, 'DissolvedOxygen': 35.27, 'Turbidity': 19.07, 'Conductivity': 43.86, 'PollutionLevel': 45.33}
{'SensorId': 17, 'HomeId': 37, 'Timestamp': 1680683210, 'Volume': 64.95, 'Velocity': 9.18, 'Pressure': 54.24, 'pH': 12.59, 'Temperature': 31.0, 'DissolvedOxygen': 13.1, 'Turbidity': 1.26, 'Conductivity': 54.32, 'PollutionLevel': 68.72}
{'SensorId': 94, 'HomeId': 11, 'Timestamp': 1680683210, 'Volume': 8.65, 'Velocity': 3.54, 'Pressure': 14.16, 'pH': 4.17, 'Temperature': 56.67, 'DissolvedOxygen': 29.02, 'Turbidity': 58.42, 'Conductivity': 52.39, 'PollutionLevel': 54.3}
{'SensorId': 30, 'HomeId': 46, 'Timestamp': 1680683210, 'Volume': 21.82, 'Velocity': 2.89, 'Pressure': 38.66, 'pH': 3.15, 'Temperature': 7.82, 'DissolvedOxygen': 11.34, 'Turbidity': 13.87, 'Conductivity': 14.33, 'PollutionLevel': 88.69}
{'SensorId': 83, 'HomeId': 37, 'Timestamp': 1680683210, 'Volume': 22.34, 'Velocity': 2.51, 'Pressure': 12.34, 'pH': 5.67, 'Temperature': 88.72, 'DissolvedOxygen': 90.46, 'Turbidity': 71.67, 'Conductivity': 38.74, 'PollutionLevel': 55.3}
{'SensorId': 33, 'HomeId': 26, 'Timestamp': 1680683210, 'Volume': 68.12, 'Velocity': 1.33, 'Pressure': 36.95, 'pH': 5.95, 'Temperature': 65.46, 'DissolvedOxygen': 1.51, 'Turbidity': 83.53, 'Conductivity': 22.34, 'PollutionLevel': 61.91}
{'SensorId': 46, 'HomeId': 26, 'Timestamp': 1680683210, 'Volume': 46.92, 'Velocity': 0.87, 'Pressure': 29.65, 'pH': 12.56, 'Temperature': 33.1, 'DissolvedOxygen': 32.15, 'Turbidity': 88.51, 'Conductivity': 25.88, 'PollutionLevel': 47.15}
{'SensorId': 10, 'HomeId': 40, 'Timestamp': 1680683210, 'Volume': 64.89, 'Velocity': 1.55, 'Pressure': 27.73, 'pH': 7.23, 'Temperature': 99.34, 'DissolvedOxygen': 32.9, 'Turbidity': 86.5, 'Conductivity': 35.27, 'PollutionLevel': 98.53}
{'SensorId': 35, 'HomeId': 32, 'Timestamp': 1680683210, 'Volume': 65.7, 'Velocity': 0.91, 'Pressure': 97.1, 'pH': 1.3, 'Temperature': 1.27, 'DissolvedOxygen': 98.95, 'Turbidity': 65.28, 'Conductivity': 6.16, 'PollutionLevel': 4.83}
{'SensorId': 95, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 37.65, 'Velocity': 4.72, 'Pressure': 52.75, 'pH': 4.75, 'Temperature': 89.27, 'DissolvedOxygen': 50.66, 'Turbidity': 90.45, 'Conductivity': 95.12, 'PollutionLevel': 40.43}
{'SensorId': 16, 'HomeId': 37, 'Timestamp': 1680683210, 'Volume': 81.78, 'Velocity': 7.3, 'Pressure': 93.48, 'pH': 12.66, 'Temperature': 48.3, 'DissolvedOxygen': 12.24, 'Turbidity': 53.89, 'Conductivity': 16.63, 'PollutionLevel': 70.57}
{'SensorId': 53, 'HomeId': 38, 'Timestamp': 1680683210, 'Volume': 33.65, 'Velocity': 9.53, 'Pressure': 61.41, 'pH': 1.67, 'Temperature': 15.44, 'DissolvedOxygen': 51.15, 'Turbidity': 89.77, 'Conductivity': 80.73, 'PollutionLevel': 69.77}
{'SensorId': 59, 'HomeId': 35, 'Timestamp': 1680683210, 'Volume': 19.67, 'Velocity': 7.22, 'Pressure': 24.84, 'pH': 1.55, 'Temperature': 76.57, 'DissolvedOxygen': 91.59, 'Turbidity': 29.77, 'Conductivity': 49.48, 'PollutionLevel': 46.12}
{'SensorId': 29, 'HomeId': 5, 'Timestamp': 1680683210, 'Volume': 8.34, 'Velocity': 9.37, 'Pressure': 54.06, 'pH': 3.57, 'Temperature': 70.77, 'DissolvedOxygen': 41.86, 'Turbidity': 80.25, 'Conductivity': 96.98, 'PollutionLevel': 53.44}
{'SensorId': 33, 'HomeId': 24, 'Timestamp': 1680683210, 'Volume': 19.41, 'Velocity': 0.56, 'Pressure': 34.63, 'pH': 11.14, 'Temperature': 78.49, 'DissolvedOxygen': 50.12, 'Turbidity': 29.08, 'Conductivity': 91.1, 'PollutionLevel': 55.46}
{'SensorId': 37, 'HomeId': 6, 'Timestamp': 1680683210, 'Volume': 68.92, 'Velocity': 2.84, 'Pressure': 87.5, 'pH': 13.66, 'Temperature': 36.67, 'DissolvedOxygen': 66.72, 'Turbidity': 64.58, 'Conductivity': 9.36, 'PollutionLevel': 88.76}
{'SensorId': 41, 'HomeId': 31, 'Timestamp': 1680683210, 'Volume': 39.07, 'Velocity': 5.23, 'Pressure': 74.78, 'pH': 1.4, 'Temperature': 64.81, 'DissolvedOxygen': 45.33, 'Turbidity': 81.51, 'Conductivity': 54.17, 'PollutionLevel': 88.94}
{'SensorId': 64, 'HomeId': 5, 'Timestamp': 1680683210, 'Volume': 75.64, 'Velocity': 8.63, 'Pressure': 2.31, 'pH': 6.51, 'Temperature': 29.45, 'DissolvedOxygen': 49.66, 'Turbidity': 92.81, 'Conductivity': 22.99, 'PollutionLevel': 98.58}
{'SensorId': 43, 'HomeId': 30, 'Timestamp': 1680683210, 'Volume': 67.77, 'Velocity': 6.6, 'Pressure': 2.18, 'pH': 5.24, 'Temperature': 90.18, 'DissolvedOxygen': 11.55, 'Turbidity': 43.64, 'Conductivity': 41.82, 'PollutionLevel': 13.08}
{'SensorId': 35, 'HomeId': 39, 'Timestamp': 1680683210, 'Volume': 57.25, 'Velocity': 0.65, 'Pressure': 50.48, 'pH': 3.28, 'Temperature': 82.8, 'DissolvedOxygen': 68.15, 'Turbidity': 78.71, 'Conductivity': 39.1, 'PollutionLevel': 10.81}
{'SensorId': 66, 'HomeId': 6, 'Timestamp': 1680683210, 'Volume': 10.29, 'Velocity': 2.21, 'Pressure': 82.09, 'pH': 7.04, 'Temperature': 47.08, 'DissolvedOxygen': 40.42, 'Turbidity': 52.45, 'Conductivity': 26.62, 'PollutionLevel': 18.77}
{'SensorId': 94, 'HomeId': 41, 'Timestamp': 1680683210, 'Volume': 94.35, 'Velocity': 1.88, 'Pressure': 53.02, 'pH': 4.89, 'Temperature': 85.61, 'DissolvedOxygen': 52.17, 'Turbidity': 99.75, 'Conductivity': 86.06, 'PollutionLevel': 99.98}
{'SensorId': 26, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 72.12, 'Velocity': 4.45, 'Pressure': 26.72, 'pH': 11.42, 'Temperature': 36.7, 'DissolvedOxygen': 45.05, 'Turbidity': 6.69, 'Conductivity': 57.09, 'PollutionLevel': 76.63}
{'SensorId': 60, 'HomeId': 35, 'Timestamp': 1680683210, 'Volume': 25.72, 'Velocity': 4.99, 'Pressure': 20.79, 'pH': 0.7, 'Temperature': 14.25, 'DissolvedOxygen': 41.32, 'Turbidity': 21.16, 'Conductivity': 50.33, 'PollutionLevel': 3.25}
{'SensorId': 63, 'HomeId': 34, 'Timestamp': 1680683210, 'Volume': 37.73, 'Velocity': 4.01, 'Pressure': 90.16, 'pH': 3.55, 'Temperature': 8.29, 'DissolvedOxygen': 71.84, 'Turbidity': 31.6, 'Conductivity': 36.52, 'PollutionLevel': 96.98}
{'SensorId': 52, 'HomeId': 8, 'Timestamp': 1680683210, 'Volume': 17.13, 'Velocity': 3.37, 'Pressure': 59.81, 'pH': 9.22, 'Temperature': 46.65, 'DissolvedOxygen': 51.7, 'Turbidity': 54.55, 'Conductivity': 81.63, 'PollutionLevel': 49.5}
{'SensorId': 75, 'HomeId': 3, 'Timestamp': 1680683210, 'Volume': 82.03, 'Velocity': 8.72, 'Pressure': 96.53, 'pH': 1.47, 'Temperature': 96.71, 'DissolvedOxygen': 89.16, 'Turbidity': 63.27, 'Conductivity': 19.47, 'PollutionLevel': 17.71}
{'SensorId': 32, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 73.43, 'Velocity': 7.93, 'Pressure': 12.41, 'pH': 2.93, 'Temperature': 89.1, 'DissolvedOxygen': 79.0, 'Turbidity': 76.97, 'Conductivity': 88.86, 'PollutionLevel': 54.49}
{'SensorId': 18, 'HomeId': 25, 'Timestamp': 1680683210, 'Volume': 22.95, 'Velocity': 3.99, 'Pressure': 36.59, 'pH': 7.56, 'Temperature': 72.75, 'DissolvedOxygen': 6.73, 'Turbidity': 33.85, 'Conductivity': 0.79, 'PollutionLevel': 27.12}
{'SensorId': 95, 'HomeId': 40, 'Timestamp': 1680683210, 'Volume': 58.84, 'Velocity': 2.13, 'Pressure': 67.42, 'pH': 0.32, 'Temperature': 21.76, 'DissolvedOxygen': 44.56, 'Turbidity': 40.22, 'Conductivity': 33.79, 'PollutionLevel': 86.94}
{'SensorId': 59, 'HomeId': 39, 'Timestamp': 1680683210, 'Volume': 70.26, 'Velocity': 0.9, 'Pressure': 98.65, 'pH': 1.31, 'Temperature': 35.45, 'DissolvedOxygen': 6.46, 'Turbidity': 97.55, 'Conductivity': 57.01, 'PollutionLevel': 78.26}
{'SensorId': 39, 'HomeId': 50, 'Timestamp': 1680683210, 'Volume': 50.47, 'Velocity': 6.47, 'Pressure': 4.49, 'pH': 5.06, 'Temperature': 36.75, 'DissolvedOxygen': 99.48, 'Turbidity': 72.09, 'Conductivity': 86.87, 'PollutionLevel': 83.69}
{'SensorId': 9, 'HomeId': 43, 'Timestamp': 1680683210, 'Volume': 42.52, 'Velocity': 3.55, 'Pressure': 57.73, 'pH': 7.52, 'Temperature': 23.69, 'DissolvedOxygen': 87.97, 'Turbidity': 40.16, 'Conductivity': 52.68, 'PollutionLevel': 9.22}
{'SensorId': 91, 'HomeId': 8, 'Timestamp': 1680683210, 'Volume': 78.89, 'Velocity': 1.17, 'Pressure': 92.11, 'pH': 12.39, 'Temperature': 82.6, 'DissolvedOxygen': 5.13, 'Turbidity': 16.39, 'Conductivity': 19.27, 'PollutionLevel': 46.69}
{'SensorId': 48, 'HomeId': 25, 'Timestamp': 1680683210, 'Volume': 28.52, 'Velocity': 6.67, 'Pressure': 60.21, 'pH': 11.66, 'Temperature': 0.06, 'DissolvedOxygen': 45.76, 'Turbidity': 36.28, 'Conductivity': 17.36, 'PollutionLevel': 3.86}
{'SensorId': 49, 'HomeId': 43, 'Timestamp': 1680683210, 'Volume': 95.79, 'Velocity': 1.01, 'Pressure': 10.64, 'pH': 12.99, 'Temperature': 57.15, 'DissolvedOxygen': 26.88, 'Turbidity': 97.72, 'Conductivity': 98.41, 'PollutionLevel': 18.77}
{'SensorId': 62, 'HomeId': 9, 'Timestamp': 1680683210, 'Volume': 76.36, 'Velocity': 3.64, 'Pressure': 40.68, 'pH': 10.78, 'Temperature': 52.42, 'DissolvedOxygen': 62.44, 'Turbidity': 94.55, 'Conductivity': 35.82, 'PollutionLevel': 71.25}
{'SensorId': 71, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 20.24, 'Velocity': 1.09, 'Pressure': 76.88, 'pH': 8.59, 'Temperature': 20.66, 'DissolvedOxygen': 50.74, 'Turbidity': 27.12, 'Conductivity': 37.34, 'PollutionLevel': 24.82}
{'SensorId': 25, 'HomeId': 50, 'Timestamp': 1680683210, 'Volume': 58.24, 'Velocity': 9.91, 'Pressure': 65.78, 'pH': 1.39, 'Temperature': 78.76, 'DissolvedOxygen': 96.45, 'Turbidity': 42.59, 'Conductivity': 76.4, 'PollutionLevel': 20.53}
{'SensorId': 89, 'HomeId': 5, 'Timestamp': 1680683210, 'Volume': 32.68, 'Velocity': 6.53, 'Pressure': 44.37, 'pH': 5.56, 'Temperature': 82.19, 'DissolvedOxygen': 4.01, 'Turbidity': 5.86, 'Conductivity': 32.58, 'PollutionLevel': 50.05}
{'SensorId': 95, 'HomeId': 9, 'Timestamp': 1680683210, 'Volume': 91.74, 'Velocity': 0.39, 'Pressure': 55.6, 'pH': 5.88, 'Temperature': 24.29, 'DissolvedOxygen': 25.68, 'Turbidity': 31.22, 'Conductivity': 39.71, 'PollutionLevel': 79.57}
{'SensorId': 9, 'HomeId': 35, 'Timestamp': 1680683210, 'Volume': 63.47, 'Velocity': 8.3, 'Pressure': 81.99, 'pH': 8.92, 'Temperature': 78.31, 'DissolvedOxygen': 94.22, 'Turbidity': 60.83, 'Conductivity': 62.46, 'PollutionLevel': 66.82}
{'SensorId': 97, 'HomeId': 41, 'Timestamp': 1680683210, 'Volume': 52.26, 'Velocity': 8.12, 'Pressure': 49.32, 'pH': 5.51, 'Temperature': 8.22, 'DissolvedOxygen': 60.68, 'Turbidity': 79.07, 'Conductivity': 94.81, 'PollutionLevel': 81.93}
{'SensorId': 31, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 54.23, 'Velocity': 1.5, 'Pressure': 85.93, 'pH': 6.87, 'Temperature': 42.7, 'DissolvedOxygen': 49.71, 'Turbidity': 42.31, 'Conductivity': 89.69, 'PollutionLevel': 44.81}
{'SensorId': 56, 'HomeId': 36, 'Timestamp': 1680683210, 'Volume': 75.74, 'Velocity': 3.37, 'Pressure': 34.49, 'pH': 9.64, 'Temperature': 40.75, 'DissolvedOxygen': 89.94, 'Turbidity': 73.02, 'Conductivity': 58.22, 'PollutionLevel': 55.65}
{'SensorId': 93, 'HomeId': 26, 'Timestamp': 1680683210, 'Volume': 92.98, 'Velocity': 4.19, 'Pressure': 47.86, 'pH': 4.79, 'Temperature': 82.34, 'DissolvedOxygen': 77.91, 'Turbidity': 93.15, 'Conductivity': 67.18, 'PollutionLevel': 0.7}
{'SensorId': 11, 'HomeId': 28, 'Timestamp': 1680683210, 'Volume': 62.76, 'Velocity': 6.48, 'Pressure': 22.19, 'pH': 6.5, 'Temperature': 39.79, 'DissolvedOxygen': 72.82, 'Turbidity': 59.11, 'Conductivity': 45.49, 'PollutionLevel': 34.31}
{'SensorId': 22, 'HomeId': 41, 'Timestamp': 1680683210, 'Volume': 74.93, 'Velocity': 7.71, 'Pressure': 85.4, 'pH': 6.41, 'Temperature': 23.35, 'DissolvedOxygen': 39.0, 'Turbidity': 39.89, 'Conductivity': 50.92, 'PollutionLevel': 46.88}
{'SensorId': 23, 'HomeId': 30, 'Timestamp': 1680683210, 'Volume': 73.23, 'Velocity': 7.54, 'Pressure': 91.39, 'pH': 9.02, 'Temperature': 68.25, 'DissolvedOxygen': 64.51, 'Turbidity': 55.57, 'Conductivity': 1.85, 'PollutionLevel': 70.62}
{'SensorId': 18, 'HomeId': 2, 'Timestamp': 1680683210, 'Volume': 82.42, 'Velocity': 3.65, 'Pressure': 98.2, 'pH': 9.91, 'Temperature': 50.1, 'DissolvedOxygen': 43.4, 'Turbidity': 57.21, 'Conductivity': 70.22, 'PollutionLevel': 39.02}
{'SensorId': 70, 'HomeId': 31, 'Timestamp': 1680683210, 'Volume': 46.41, 'Velocity': 7.16, 'Pressure': 51.57, 'pH': 9.03, 'Temperature': 54.43, 'DissolvedOxygen': 3.39, 'Turbidity': 93.43, 'Conductivity': 31.71, 'PollutionLevel': 79.77}
{'SensorId': 87, 'HomeId': 39, 'Timestamp': 1680683210, 'Volume': 15.1, 'Velocity': 0.74, 'Pressure': 40.79, 'pH': 2.22, 'Temperature': 47.05, 'DissolvedOxygen': 24.62, 'Turbidity': 49.85, 'Conductivity': 76.05, 'PollutionLevel': 7.93}
{'SensorId': 83, 'HomeId': 21, 'Timestamp': 1680683210, 'Volume': 9.98, 'Velocity': 5.91, 'Pressure': 29.58, 'pH': 13.38, 'Temperature': 27.66, 'DissolvedOxygen': 39.95, 'Turbidity': 89.76, 'Conductivity': 12.06, 'PollutionLevel': 3.88}
{'SensorId': 86, 'HomeId': 16, 'Timestamp': 1680683210, 'Volume': 58.41, 'Velocity': 0.33, 'Pressure': 59.08, 'pH': 9.94, 'Temperature': 30.91, 'DissolvedOxygen': 87.3, 'Turbidity': 92.67, 'Conductivity': 62.6, 'PollutionLevel': 94.68}
{'SensorId': 54, 'HomeId': 9, 'Timestamp': 1680683210, 'Volume': 81.08, 'Velocity': 1.7, 'Pressure': 27.74, 'pH': 3.2, 'Temperature': 94.76, 'DissolvedOxygen': 40.77, 'Turbidity': 75.07, 'Conductivity': 65.69, 'PollutionLevel': 96.93}
{'SensorId': 43, 'HomeId': 43, 'Timestamp': 1680683210, 'Volume': 32.2, 'Velocity': 6.11, 'Pressure': 97.98, 'pH': 4.06, 'Temperature': 32.51, 'DissolvedOxygen': 99.41, 'Turbidity': 30.92, 'Conductivity': 67.14, 'PollutionLevel': 0.36}
{'SensorId': 29, 'HomeId': 27, 'Timestamp': 1680683210, 'Volume': 43.77, 'Velocity': 2.47, 'Pressure': 64.07, 'pH': 3.18, 'Temperature': 16.83, 'DissolvedOxygen': 57.47, 'Turbidity': 9.72, 'Conductivity': 84.96, 'PollutionLevel': 66.13}
{'SensorId': 82, 'HomeId': 37, 'Timestamp': 1680683210, 'Volume': 64.87, 'Velocity': 4.35, 'Pressure': 62.76, 'pH': 10.54, 'Temperature': 71.39, 'DissolvedOxygen': 2.31, 'Turbidity': 82.53, 'Conductivity': 29.78, 'PollutionLevel': 3.99}
{'SensorId': 80, 'HomeId': 42, 'Timestamp': 1680683210, 'Volume': 61.6, 'Velocity': 6.41, 'Pressure': 65.32, 'pH': 8.39, 'Temperature': 21.32, 'DissolvedOxygen': 41.43, 'Turbidity': 30.4, 'Conductivity': 43.68, 'PollutionLevel': 16.33}
{'SensorId': 92, 'HomeId': 32, 'Timestamp': 1680683210, 'Volume': 26.3, 'Velocity': 4.04, 'Pressure': 95.17, 'pH': 7.3, 'Temperature': 33.46, 'DissolvedOxygen': 27.45, 'Turbidity': 95.4, 'Conductivity': 30.36, 'PollutionLevel': 36.69}
{'SensorId': 14, 'HomeId': 6, 'Timestamp': 1680683210, 'Volume': 59.16, 'Velocity': 0.91, 'Pressure': 35.07, 'pH': 12.09, 'Temperature': 82.44, 'DissolvedOxygen': 27.53, 'Turbidity': 22.12, 'Conductivity': 87.84, 'PollutionLevel': 57.72}
{'SensorId': 25, 'HomeId': 19, 'Timestamp': 1680683210, 'Volume': 55.53, 'Velocity': 7.03, 'Pressure': 4.66, 'pH': 5.11, 'Temperature': 61.96, 'DissolvedOxygen': 8.64, 'Turbidity': 11.31, 'Conductivity': 97.85, 'PollutionLevel': 40.84}
{'SensorId': 78, 'HomeId': 42, 'Timestamp': 1680683210, 'Volume': 60.77, 'Velocity': 2.69, 'Pressure': 23.7, 'pH': 13.36, 'Temperature': 99.34, 'DissolvedOxygen': 38.75, 'Turbidity': 42.32, 'Conductivity': 40.07, 'PollutionLevel': 4.08}
{'SensorId': 72, 'HomeId': 47, 'Timestamp': 1680683210, 'Volume': 1.84, 'Velocity': 0.19, 'Pressure': 29.71, 'pH': 3.38, 'Temperature': 89.05, 'DissolvedOxygen': 4.36, 'Turbidity': 32.81, 'Conductivity': 90.59, 'PollutionLevel': 97.8}
{'SensorId': 80, 'HomeId': 39, 'Timestamp': 1680683210, 'Volume': 39.3, 'Velocity': 8.16, 'Pressure': 23.46, 'pH': 9.54, 'Temperature': 2.01, 'DissolvedOxygen': 24.27, 'Turbidity': 73.0, 'Conductivity': 69.22, 'PollutionLevel': 90.94}
{'SensorId': 30, 'HomeId': 29, 'Timestamp': 1680683210, 'Volume': 59.95, 'Velocity': 6.78, 'Pressure': 69.02, 'pH': 4.65, 'Temperature': 68.39, 'DissolvedOxygen': 90.08, 'Turbidity': 91.31, 'Conductivity': 11.2, 'PollutionLevel': 57.68}
{'SensorId': 62, 'HomeId': 4, 'Timestamp': 1680683210, 'Volume': 83.69, 'Velocity': 4.33, 'Pressure': 83.73, 'pH': 0.58, 'Temperature': 25.26, 'DissolvedOxygen': 81.31, 'Turbidity': 5.36, 'Conductivity': 71.55, 'PollutionLevel': 3.29}
{'SensorId': 21, 'HomeId': 7, 'Timestamp': 1680683210, 'Volume': 10.57, 'Velocity': 0.79, 'Pressure': 81.1, 'pH': 3.04, 'Temperature': 98.67, 'DissolvedOxygen': 56.1, 'Turbidity': 68.0, 'Conductivity': 52.89, 'PollutionLevel': 88.79}
{'SensorId': 71, 'HomeId': 34, 'Timestamp': 1680683210, 'Volume': 82.5, 'Velocity': 3.07, 'Pressure': 68.72, 'pH': 0.57, 'Temperature': 9.83, 'DissolvedOxygen': 12.8, 'Turbidity': 41.12, 'Conductivity': 8.53, 'PollutionLevel': 65.53}
{'SensorId': 17, 'HomeId': 34, 'Timestamp': 1680683210, 'Volume': 75.91, 'Velocity': 1.62, 'Pressure': 64.64, 'pH': 12.21, 'Temperature': 63.2, 'DissolvedOxygen': 78.07, 'Turbidity': 51.87, 'Conductivity': 6.77, 'PollutionLevel': 12.04}
